TccvID,Timestamp,Circuit Name,Milk Tank 1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T03:59:38.337Z,1,30.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T03:59:38.337Z,2,46.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:00:38.384Z,2,46.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:00:38.384Z,1,46.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:01:38.503Z,2,46.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:01:38.503Z,1,46.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:02:38.487Z,1,45.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:02:38.487Z,2,45.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:03:38.506Z,2,41.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:03:38.506Z,1,41.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:04:38.534Z,1,40
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:04:38.534Z,2,40
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:05:38.580Z,2,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:05:38.580Z,1,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:06:38.621Z,1,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:06:38.621Z,2,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:07:38.662Z,1,39
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:07:38.662Z,2,39
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:08:38.698Z,1,39
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:08:38.698Z,2,39
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:09:38.709Z,1,39.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:09:38.709Z,2,39.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:10:38.738Z,1,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:10:38.738Z,2,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:11:38.774Z,2,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:11:38.774Z,1,39.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:12:38.873Z,2,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:12:38.873Z,1,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:13:38.838Z,2,39.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:13:38.838Z,1,39.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:14:38.876Z,2,39.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:14:38.876Z,1,39.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:15:38.944Z,2,39.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:15:38.944Z,1,39.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:16:39.004Z,1,39.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:16:39.004Z,2,39.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:17:39.065Z,1,39.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:17:39.065Z,2,39.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:18:39.120Z,2,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:18:39.120Z,1,39.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:19:39.153Z,1,58.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:19:39.153Z,2,58.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:20:39.200Z,1,54
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:20:39.200Z,2,54
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:21:39.271Z,2,63
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:21:39.271Z,1,63
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:22:39.279Z,2,48.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:22:39.279Z,1,48.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:23:39.394Z,1,47.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:23:39.394Z,2,47.2
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:24:39.381Z,2,49.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:24:39.381Z,1,49.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:25:39.415Z,1,51
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:25:39.415Z,2,51
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:26:39.470Z,2,44.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:26:39.470Z,1,44.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:27:39.517Z,2,44.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:27:39.517Z,1,44.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:28:39.564Z,1,44.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:28:39.564Z,2,44.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:29:39.626Z,1,44.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:29:39.626Z,2,44.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:30:39.667Z,2,44.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:30:39.667Z,1,44.6
